@relation vectores_clustered

@attribute Instance_number numeric
@attribute caracteristica0 numeric
@attribute caracteristica1 numeric
@attribute caracteristica2 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
576,1609.61792,2002.9375,0.58577,cluster7
577,1401.772949,2030.402344,0.552134,cluster7
578,809.771423,3653.175781,0.518389,cluster5
579,748.811646,3124.9375,0.456443,cluster5
580,830.118652,3182.25,0.59703,cluster5
581,883.455444,4185.191406,0.494169,cluster5
582,938.630676,2907.148438,0.452984,cluster5
583,5056.233398,1227.089844,0.485062,cluster3
584,20942.59375,158.546875,0,cluster0
585,18284.177734,180.632813,0,cluster0
586,20703.232422,154.558594,0,cluster0
587,19090.994141,181.546875,0,cluster0
588,13312.199219,230.824219,0,cluster8
589,17734.242188,178.292969,0,cluster0
590,2219.776611,1575.789063,0.184509,cluster6
591,973.595703,2003.417969,0.228916,cluster2
592,1101.931641,1620.015625,0.340932,cluster4
593,1286.841919,1721.882813,0.344647,cluster4
594,1037.547974,1480.785156,0.143893,cluster6
595,1443.303345,1239.058594,0.448884,cluster3
596,2073.730225,904.914063,0.422835,cluster4
597,6637.147461,68.601563,0,cluster8
