@relation vectores

@attribute caracteristica0 NUMERIC
@attribute caracteristica1 NUMERIC
@attribute caracteristica2 NUMERIC

@data
25597.673828125,153.87109375,0
10091.6982421875,432.0078125,0
21486.255859375,160.33984375,0
4625.91943359375,1174.64453125,0.393470631657689
1083.33630371094,1992.7265625,0.581562478496035
895.798828125,2204.296875,0.434820554134149
849.955017089844,2651.0390625,0.462745928283237
1720.72436523438,1262.77734375,0.731403601817073
1481.91455078125,1568.765625,0.849562151317098
1266.76806640625,1405.29296875,0.769629561619856
1133.43933105469,1677.7890625,0.594217640383508
1245.28393554688,2474.890625,0.644235117553096
1093.80249023438,2096.1484375,0.571438998307571
1073.06591796875,2788.19140625,0.608777983434784
1394.41296386719,2703.87890625,0.834845284609605
1557.51879882813,2300.36328125,0.810339586301722
1493.33032226563,2132.88671875,0.767050702313985
1025.33923339844,3939.78515625,0.806241633988753
1126.71875,3397.8671875,0.54749865037666
796.896118164063,3753.35546875,0.262010956377618
1025.75207519531,3564.8515625,0.283495160281876
728.971313476563,2962.9453125,0.0302236066704015
751.142639160156,3010.203125,0.232833345229395
777.933837890625,3721.54296875,0.509573271524935
984.207153320313,2959.9765625,0.521176907056482
5482.08251953125,992.046875,0.305386993854528
26096.294921875,134.32421875,0
23760,148.54296875,0
25399.833984375,161.3984375,0
14479.2666015625,244.609375,0
25206.73828125,126.828125,0
3385.45678710938,1329.8671875,0.415167222696299
956.926025390625,3446.88671875,0.717326252890816
963.805480957031,2674.3203125,0.436921846979494
796.232788085938,3513.4296875,0.579545315894156
848.643676757813,3312.0859375,0.642587532677203
1443.42956542969,1765.2421875,0.684189956868221
1756.74560546875,1400.171875,0.81229303534127
1528.00671386719,1869.71875,0.684219124996124
1471.73962402344,1900.265625,0.597788037944891
1939.70983886719,1076.1484375,0.548909249492866
1873.14624023438,1224.86328125,0.598694816930089
1337.59790039063,2335.2109375,0.803179057958498
1453.63793945313,2790.5390625,0.879585654364394
1442.08825683594,2044.30859375,0.893361951650937
1334.47717285156,2223.8828125,0.73319835858799
1180.21997070313,3550.79296875,0.622248753546219
1053.05969238281,3302.8125,0.481782628135144
1077.1494140625,3253.625,0.43573143592315
949.139465332031,2728.3046875,0.10374504379651
699.509521484375,2873.05078125,0.239150522387524
946.82568359375,2673.01953125,0.371390905660457
983.234436035156,3045.359375,0.586531322921816
7786.892578125,561.9453125,0.129632953621671
15909.2451171875,230.95703125,0
18030.6171875,194.62890625,0
